西暦,和暦,地域コード,所管,地域,総数_面積(ha),総数_蓄積(m3),国有林_面積(ha),国有林_蓄積(m3),公有林_面積(ha),公有林_蓄積(m3),私有林_面積(ha),私有林_蓄積(m3)
2011年,平成23年,26000,-,京都府,343027.29,73768025,7490.93,986007,21879.58,4850092,313656.78,67931926
2012年,平成24年,26000,-,京都府,343044.2,74578703,7490.05,986179,21863.97,4909286,313690.18,68683238
2013年,平成25年,26000,-,京都府,342904.62,75369256,7435.88,1062977,21737.16,4911459,313731.58,69394820
2014年,平成26年,26000,-,京都府,342836.66,76095638,7435.78,1063317,22306.75,5078682,313094.13,69953639
2015年,平成27年,26000,-,京都府,342826.51,76763977,7435.86,1063758,27480.34,6030172,307910.31,69670047
2015年,平成27年,26100,京都林務事務所,京都市,61013.79,15318127,1610.95,313488,1556.86,368874,57845.98,14635765
2015年,平成27年,26208,京都林務事務所,向日市,92.23,2311,-,-,11.62,1027,80.61,1284
2015年,平成27年,26209,京都林務事務所,長岡京市,792.09,140416,-,-,13.46,2256,778.63,138160
2015年,平成27年,26303,京都林務事務所,大山崎町,187.86,22830,0.16,24,0.85,5,186.85,22801
2015年,平成27年,26204,山城広域振興局,宇治市,3364.7,767091,27.61,2780,270.82,57679,3066.27,706632
2015年,平成27年,26207,山城広域振興局,城陽市,1017.38,167863,183,7304,1.86,289,832.52,160270
2015年,平成27年,26210,山城広域振興局,八幡市,175.34,15224,-,-,0.3,39,175.04,15185
2015年,平成27年,26211,山城広域振興局,京田辺市,1290.92,148694,68.2,1912,24.57,3827,1198.15,142955
2015年,平成27年,26214,山城広域振興局,木津川市,3141.09,560478,161.31,18908,472.46,92725,2507.32,448845
2015年,平成27年,26322,山城広域振興局,久御山町,20.03,4147,-,-,20.03,4147,-,-
2015年,平成27年,26343,山城広域振興局,井手町,1115.72,211895,242.92,31546,168.12,38258,704.68,142091
2015年,平成27年,26344,山城広域振興局,宇治田原町,4379.24,1070812,-,-,132.13,28822,4247.11,1041990
2015年,平成27年,26364,山城広域振興局,笠置町,1881.39,403876,-,-,13.88,3453,1867.51,400423
2015年,平成27年,26365,山城広域振興局,和束町,4945.71,1202725,-,-,1097.7,231086,3848.01,971639
2015年,平成27年,26366,山城広域振興局,精華町,649.11,88392,228.3,23931,0.04,3,420.77,64458
2015年,平成27年,26367,山城広域振興局,南山城村,4611.33,844888,-,-,23.66,3358,4587.67,841530
2015年,平成27年,26206,南丹広域振興局,亀岡市,15287.96,3563483,146.15,28677,2461.57,607977,12680.24,2926829
2015年,平成27年,26213,南丹広域振興局,南丹市,54204.88,13408089,58.85,11565,5273.26,1320469,48872.77,12076055
2015年,平成27年,26407,南丹広域振興局,京丹波町,25042.28,5974752,207.89,42272,2125.8,520504,22708.59,5411976
2015年,平成27年,26201,中丹広域振興局,福知山市,42083.36,10049632,220.67,29090,1703.63,446350,40159.06,9574192
2015年,平成27年,26202,中丹広域振興局,舞鶴市,26935.98,5347601,759.94,105452,869.65,186916,25306.39,5055233
2015年,平成27年,26203,中丹広域振興局,綾部市,26570.25,6248100,414.79,63342,2250.52,588193,23904.94,5596565
2015年,平成27年,26205,丹後広域振興局,宮津市,13519.82,2113302,1607.32,217149,2589.02,416160,9323.48,1479993
2015年,平成27年,26212,丹後広域振興局,京丹後市,37238.4,6843034,1155.66,124291,3408.1,615935,32674.64,6102808
2015年,平成27年,26463,丹後広域振興局,伊根町,5114.77,750506,202.4,24048,1544.8,228044,3367.57,498414
2015年,平成27年,26465,丹後広域振興局,与謝野町,8150.88,1495709,139.74,17979,1445.63,263776,6565.51,1213954
